followee,country,count,rank
5988062,Singapore,1747,37
19397785,Australia,1747,42
124839730,Indonesia,1733,33
54904679,United Kingdom,1729,42
91227352,Singapore,1725,38
21447363,United States,1724,17
106062176,United Kingdom,1719,43
47596019,Indonesia,1713,34
243865694,Australia,1713,43
17753033,United Kingdom,1711,44
14589119,Thailand,1708,2
19106719,Indonesia,1700,35
180505807,United States,1700,18
215952307,United Kingdom,1698,45
903172238,Indonesia,1696,36
8197942,Australia,1695,44
20508222,United Kingdom,1692,46
428333,United Kingdom,1689,47
759251,Australia,1686,45
18909186,Brazil,1684,2
173992307,United Kingdom,1683,48
5988062,Australia,1681,46
16389180,Malaysia,1678,3
22919665,Australia,1678,47
29576445,Australia,1678,48
297169759,Indonesia,1677,37
21447363,Australia,1676,49
56377143,Brazil,1674,3
23879043,Australia,1673,50
104714478,Indonesia,1673,38
15846407,United States,1671,19
17471979,Australia,1671,51
18676177,United Kingdom,1671,49
19106719,United States,1670,20
46697447,United Kingdom,1669,50
519211628,Indonesia,1668,39
17020962,United Kingdom,1662,51
12101862,United Kingdom,1660,52
32388036,United Kingdom,1657,53
87416722,United Kingdom,1653,54
15378041,United Kingdom,1652,55
14589119,Netherlands,1651,2
11348282,United Kingdom,1650,56
3108351,Singapore,1640,39
18243090,Indonesia,1640,40
56377143,Netherlands,1637,3
22090282,United Kingdom,1634,57
128841198,Indonesia,1634,41
18909186,Indonesia,1633,42
22536055,United States,1632,21
19397785,United States,1615,22
18332190,Brazil,1611,4
56377143,United States,1611,23
265902729,United Kingdom,1611,58
17471979,United Kingdom,1602,59
19818494,United Kingdom,1602,60
19397785,Singapore,1591,40
821045162,Indonesia,1591,43
45621423,Brazil,1589,5
1652541,United Kingdom,1581,61
20536157,Singapore,1570,41
180505807,Australia,1569,52
21447363,United Kingdom,1568,62
21887420,United Kingdom,1568,63
16365636,Australia,1558,53
17919972,United States,1555,24
155418706,Thailand,1550,3
14293310,Australia,1537,54
18676177,Australia,1527,55
10228272,China,1526,2
759251,United Kingdom,1522,64
17471979,Singapore,1522,42
18332190,Indonesia,1518,44
23299429,Singapore,1515,43
14293310,United States,1508,25
27807739,Singapore,1507,44
413487212,United Kingdom,1507,65
3108351,Australia,1506,56
16898427,Thailand,1500,4
22536055,Brazil,1500,6
471287735,United Kingdom,1500,66
12397052,United Kingdom,1489,67
18909186,United States,1489,26
17386885,United Kingdom,1484,68
20015311,Australia,1482,57
1652541,Australia,1479,58
