followee,count
6509832,4
14749606,4
15519886,4
15872418,4
16190898,4
17020962,4
17336417,4
17753033,4
18211861,4
19895282,4
20508222,4
23563916,4
27042513,4
27195114,4
27807739,4
38140836,4
39453212,4
44728980,4
46697447,4
47363197,4
59419156,4
60586908,4
64510593,4
69183155,4
69209858,4
78010944,4
85452649,4
87170183,4
90420314,4
109275593,4
113292385,4
115286138,4
122278704,4
124839730,4
125225621,4
136002930,4
140324159,4
155418706,4
169686021,4
183230911,4
202890266,4
209004862,4
209708391,4
210792232,4
222782095,4
268414482,4
377026626,4
525264466,4
606437303,4
1093090866,4
1307120064,4
1346439824,4
1527152922,4
574253,3
1877831,3
2834511,3
5715752,3
8720562,3
10937622,3
14226495,3
14301074,3
14765253,3
15007149,3
15092616,3
15448383,3
15577108,3
15648827,3
15997770,3
16389180,3
17386885,3
18363030,3
18860860,3
19401532,3
20510539,3
20578408,3
20583993,3
20596281,3
20972121,3
21078655,3
21383066,3
23343960,3
23543947,3
23613479,3
23965492,3
25041618,3
25082628,3
25497636,3
26726695,3
26935768,3
27830610,3
29191391,3
29413497,3
31685653,3
32751684,3
33494125,3
33873560,3
34565395,3
35936474,3
36670025,3
37589139,3
37599685,3
37890902,3
41730943,3
44588485,3
45112524,3
50548818,3
52032722,3
53153263,3
54515483,3
54524468,3
56913467,3
57261519,3
60327493,3
65356637,3
71436318,3
76647722,3
79962986,3
85436197,3
91227352,3
92367751,3
93766096,3
97865628,3
103065157,3
106710681,3
114508061,3
114990575,3
118629205,3
122453931,3
122969292,3
128841198,3
132493630,3
139092348,3
157981564,3
171574926,3
174266952,3
176566242,3
185142711,3
185827887,3
186712788,3
193194851,3
216289357,3
231476876,3
243711009,3
256930894,3
259379883,3
265982289,3
274087824,3
330826792,3
339040963,3
344801362,3
408338751,3
452155423,3
453507741,3
519211628,3
740336334,3
754613281,3
754823287,3
786241032,3
1176135546,3
2335560870,3
790728,2
1543661,2
2768501,2
6741632,2
7996082,2
8724862,2
8802752,2
9317502,2
9609632,2
12925072,2
14132853,2
14172570,2
14213711,2
14237001,2
14361155,2
14369314,2
14436030,2
14454247,2
14497313,2
14502789,2
14594813,2
14684852,2
14697575,2
14700117,2
14758257,2
14806765,2
14825399,2
14918367,2
14927814,2
15253147,2
15392221,2
15649433,2
15809249,2
15907720,2
16675569,2
16734909,2
16735210,2
16832632,2
16834659,2
16839878,2
16912985,2
17230018,2
17380167,2
17409452,2
17540485,2
17715048,2
17899109,2
17962204,2
18219976,2
18436379,2
18702602,2
18753424,2
18774524,2
18901882,2
18953259,2
19248106,2
19606528,2
19818494,2
19897138,2
19903099,2
20322929,2
20348431,2
20402945,2
20433284,2
20511391,2
20521828,2
20545055,2
20577889,2
20796069,2
21477362,2
21739712,2
21870007,2
22059388,2
22594051,2
22927890,2
22940219,2
22993014,2
23151437,2
23690344,2
23879043,2
25049177,2
25098482,2
25104363,2
25263074,2
25267500,2
25387183,2
25589776,2
25979455,2
25992212,2
26127689,2
26243008,2
27874816,2
28051644,2
28058878,2
28776864,2
29498906,2
29797128,2
31015988,2
31239408,2
32201814,2
32253299,2
33861425,2
35180265,2
36412963,2
38146999,2
39699737,2
40844176,2
41330603,2
43023158,2
44510593,2
44835347,2
46207622,2
46335511,2
47596019,2
52471614,2
54290974,2
54341363,2
54610518,2
54829997,2
55459700,2
55520719,2
56891751,2
57905993,2
59808841,2
60937837,2
61155779,2
61235377,2
61507091,2
63977305,2
66346348,2
66959303,2
67719573,2
69181624,2
69266428,2
70403330,2
71201743,2
72539067,2
72782367,2
73301369,2
73443014,2
74311500,2
75069067,2
76577609,2
77696645,2
78264667,2
81048495,2
84311137,2
85426644,2
86254626,2
87096507,2
87118217,2
88878382,2
92708272,2
92945681,2
92985243,2
93950784,2
94163409,2
94628304,2
95252395,2
96083073,2
96387561,2
104714478,2
105082141,2
108543358,2
112411597,2
114356023,2
115044590,2
116362700,2
117141706,2
118552439,2
121887978,2
122027651,2
124258971,2
127483019,2
127765218,2
130033681,2
131574396,2
132355708,2
132887265,2
135421739,2
136007061,2
136071451,2
136932734,2
138814032,2
139876086,2
141052723,2
142393421,2
142722336,2
150429478,2
151410216,2
152251488,2
156179071,2
157011426,2
160391541,2
169090363,2
170965705,2
174361486,2
177583133,2
177838266,2
179569408,2
181268935,2
181561712,2
183165874,2
195646956,2
204151028,2
204245399,2
213278292,2
213539531,2
219961005,2
220228167,2
220906523,2
225334453,2
229619787,2
229860431,2
230845588,2
233430873,2
239760107,2
243865694,2
245443647,2
245697549,2
256116885,2
262299947,2
265205959,2
268439864,2
275558381,2
277434037,2
280172306,2
281376243,2
300789811,2
301120393,2
301309392,2
303862998,2
304467186,2
316577087,2
333925878,2
361812003,2
361812836,2
367054346,2
377939666,2
398593054,2
407054921,2
426738834,2
434071161,2
452830010,2
466882955,2
474886468,2
494146210,2
558739638,2
575112328,2
624837541,2
624896628,2
713993413,2
740216334,2
761149154,2
947192262,2
1003757702,2
1041453240,2
1052586019,2
1269425228,2
1337785291,2
1447949844,2
1481025810,2
1670174994,2
2253325604,2
2597413135,2
2914442873,2
3002789437,2
624413,1
1839871,1
1994321,1
2097191,1
2561091,1
2576461,1
2649991,1
2735591,1
2897441,1
3222731,1
3459051,1
4104111,1
4808861,1
4921131,1
5186431,1
5392522,1
5694822,1
5695032,1
5734902,1
5885732,1
5893702,1
5943942,1
6015212,1
6135542,1
6135642,1
6809022,1
6844292,1
6959082,1
7717612,1
7831092,1
8105922,1
8168562,1
8197942,1
8279892,1
8350912,1
8665572,1
8665852,1
8973062,1
9027872,1
9075022,1
9204502,1
9549352,1
9633802,1
10012122,1
10017472,1
10032712,1
10451602,1
11859822,1
12044602,1
13038642,1
13120642,1
13192972,1
13201312,1
13353862,1
13426312,1
13466522,1
13812592,1
13979202,1
14055301,1
14060262,1
14075928,1
14114267,1
14116807,1
14123683,1
14157134,1
14196754,1
14272817,1
14273050,1
14330924,1
14353392,1
14372104,1
14450267,1
14457931,1
14493047,1
14569869,1
14592723,1
14602576,1
14614833,1
14674260,1
14749340,1
14803701,1
14834302,1
15007299,1
15016209,1
15032613,1
15072071,1
15084853,1
15096735,1
15234407,1
15250661,1
15254807,1
15371662,1
15375209,1
15383636,1
15391813,1
15392391,1
15432891,1
15479095,1
15556862,1
15588657,1
15631238,1
15656072,1
15687507,1
15690495,1
15731526,1
15734473,1
15762708,1
15786941,1
15811202,1
15818391,1
15830701,1
15840909,1
15939283,1
15956519,1
16017996,1
16077698,1
16128680,1
16234600,1
16267340,1
16432083,1
16451028,1
16510448,1
16532451,1
16557472,1
16580226,1
16632149,1
16675133,1
16676396,1
16678443,1
